기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,수료인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 디자인 스쿨,2회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2024-01-08,2024-05-20,720,60,59,59,46,67.0,58,86.5,55,69.5
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 디자인 스쿨,3회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2024-08-12,2024-12-23,720,60,60,60,6개월이 안 지났거나 해당 정보 없음,67.0,59,79.7,50,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 디자인 스쿨,4회차,UI/UX엔지니어링(20010207),K-디지털 트레이닝,2024-11-29,2025-04-22,720,120,82,82,6개월이 안 지났거나 해당 정보 없음,67.0,60,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,8회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-01-23,2024-07-19,960,30,25,25,22,22.2,21,88,25,63.6
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,9회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-02-19,2024-08-23,960,30,30,30,6개월이 안 지났거나 해당 정보 없음,22.2,25,100,23,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,10회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-04-02,2024-10-02,960,30,17,16,6개월이 안 지났거나 해당 정보 없음,22.2,30,81.3,13,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,11회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-07-23,2025-01-20,960,30,18,18,6개월이 안 지났거나 해당 정보 없음,22.2,16,93.9,7,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",자바 & 파이썬 활용 통계 기반 빅데이터 개발자 과정,12회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-07-23,2025-03-05,960,30,22,22,6개월이 안 지났거나 해당 정보 없음,22.2,18,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,9회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-23,2024-07-18,960,30,17,17,13,17.7,26,94.5,13,53.9
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,10회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-12,2024-09-06,960,30,18,18,6개월이 안 지났거나 해당 정보 없음,17.7,17,95.9,14,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,11회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-12,2024-09-12,960,30,22,22,6개월이 안 지났거나 해당 정보 없음,17.7,18,93.2,19,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,12회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-04-09,2024-10-08,960,30,17,17,6개월이 안 지났거나 해당 정보 없음,17.7,22,94,12,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,13회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-05-21,2024-11-13,960,30,10,10,6개월이 안 지났거나 해당 정보 없음,17.7,17,93.9,7,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,14회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-07-23,2025-03-19,960,30,13,13,6개월이 안 지났거나 해당 정보 없음,17.7,10,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,15회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-08-20,2025-02-21,960,30,18,18,6개월이 안 지났거나 해당 정보 없음,17.7,13,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,16회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-10-08,2025-04-08,960,30,21,21,6개월이 안 지났거나 해당 정보 없음,17.7,18,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,17회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-10-29,2025-04-25,960,30,20,20,6개월이 안 지났거나 해당 정보 없음,17.7,21,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",그래픽 기반의 실시간 AI서비스를 활용한 cross-platform 개발자 양성과정,18회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-12-30,2025-07-04,960,30,21,21,6개월이 안 지났거나 해당 정보 없음,17.7,20,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층",React.js와 Springboot를 활용한 자바 풀스택 개발자,9회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-23,2024-07-16,900,22,18,18,14,18.0,15,89.8,14,21.4
한국표준협회,(06160) 서울특별시 강남구 테헤란로69길 5 (삼성동) DT센터,Cisco VirtuNet Cloud 통합 구현,3회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-01-23,2024-07-19,960,30,30,30,29,27.0,24,92.9,30,68.9
한국표준협회,(06160) 서울특별시 강남구 테헤란로69길 5 (삼성동) DT센터,Cisco VirtuNet Cloud 통합 구현,4회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-03-19,2024-09-13,960,30,24,24,6개월이 안 지났거나 해당 정보 없음,27.0,30,100,22,6개월이 안 지났거나 해당 정보 없음
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-01-29,2024-08-23,1080,20,19,19,6개월이 안 지났거나 해당 정보 없음,16.17,13,80.7,17,6개월이 안 지났거나 해당 정보 없음
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-04,2024-09-25,1080,30,16,16,6개월이 안 지났거나 해당 정보 없음,16.17,19,45.7,15,6개월이 안 지났거나 해당 정보 없음
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-04-15,2024-11-08,1080,28,10,10,6개월이 안 지났거나 해당 정보 없음,16.17,16,77.8,9,6개월이 안 지났거나 해당 정보 없음
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",8회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-05-27,2024-12-19,1080,30,18,18,6개월이 안 지났거나 해당 정보 없음,16.17,10,98.8,12,6개월이 안 지났거나 해당 정보 없음
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",9회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-07-22,2025-02-14,1080,30,20,20,6개월이 안 지났거나 해당 정보 없음,16.17,18,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
중앙HTA IT교육원,(03134) 서울특별시 종로구 율곡로10길 105 (봉익동 디아망 쥬얼리) 4층,"Public Cloud 활용 자바(JAVA) 웹 애플리케이션(Spring, Docker) 개발자 양성과정",10회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-09,2025-04-03,1080,20,14,14,6개월이 안 지났거나 해당 정보 없음,16.17,20,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,3회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2024-01-31,2024-08-02,968,25,22,22,6개월이 안 지났거나 해당 정보 없음,19.0,24,78.1,15,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,4회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2024-03-11,2024-09-06,968,25,20,20,6개월이 안 지났거나 해당 정보 없음,19.0,22,46.9,14,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,5회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2024-08-05,2025-02-13,968,22,20,20,6개월이 안 지났거나 해당 정보 없음,19.0,20,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,6회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2024-09-23,2025-03-27,968,22,15,15,6개월이 안 지났거나 해당 정보 없음,19.0,20,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,핀테크 서비스를 위한 풀스택 개발자 양성 과정,7회차,핀테크엔지니어링(20010210),K-디지털 트레이닝,2024-12-16,2025-06-20,968,22,19,18,6개월이 안 지났거나 해당 정보 없음,19.0,15,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,빅데이터분석(with 파이썬)과 엘라스틱서치를 활용한 자바(Java)웹개발자양성,8회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-02-05,2024-09-25,1220,20,9,9,6개월이 안 지났거나 해당 정보 없음,11.67,14,62.5,8,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,빅데이터분석(with 파이썬)과 엘라스틱서치를 활용한 자바(Java)웹개발자양성,9회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-05-22,2025-01-08,1220,20,15,16,6개월이 안 지났거나 해당 정보 없음,11.67,9,53.6,8,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,빅데이터분석(with 파이썬)과 엘라스틱서치를 활용한 자바(Java)웹개발자양성,10회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-08-05,2025-03-24,1220,20,10,10,6개월이 안 지났거나 해당 정보 없음,11.67,16,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 데이터 분석 스쿨,2회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-02-13,2024-07-03,720,60,55,55,35,48.67,32,84,41,57.2
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 데이터 분석 스쿨,3회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-08-27,2025-01-23,720,60,53,53,6개월이 안 지났거나 해당 정보 없음,48.67,55,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 데이터 분석 스쿨,4회차,빅데이터분석(20010105),K-디지털 트레이닝,2024-12-19,2025-05-16,720,60,38,38,6개월이 안 지났거나 해당 정보 없음,48.67,53,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,퍼블릭 클라우드 기반 DevSecOps 융합 인재 양성 과정,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-02-13,2024-08-12,960,25,18,18,6개월이 안 지났거나 해당 정보 없음,17.67,25,90.1,13,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,퍼블릭 클라우드 기반 DevSecOps 융합 인재 양성 과정,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-27,2024-12-27,960,25,21,21,6개월이 안 지났거나 해당 정보 없음,17.67,18,63.9,19,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,퍼블릭 클라우드 기반 DevSecOps 융합 인재 양성 과정,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-23,2025-03-27,960,25,14,14,6개월이 안 지났거나 해당 정보 없음,17.67,21,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",파이썬을 활용한 고도화 백엔드 아키텍처 설계 및 개발 과정,2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-02-19,2024-08-02,880,100,44,44,6개월이 안 지났거나 해당 정보 없음,22.5,30,86.1,36,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",파이썬을 활용한 고도화 백엔드 아키텍처 설계 및 개발 과정,3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-27,2024-12-13,880,100,19,19,6개월이 안 지났거나 해당 정보 없음,22.5,44,74.7,13,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",파이썬을 활용한 고도화 백엔드 아키텍처 설계 및 개발 과정,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-10-10,2025-04-08,880,100,15,15,6개월이 안 지났거나 해당 정보 없음,22.5,19,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",파이썬을 활용한 고도화 백엔드 아키텍처 설계 및 개발 과정,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-12-30,2025-06-27,880,100,12,12,6개월이 안 지났거나 해당 정보 없음,22.5,15,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,하이브리드 및 멀티클라우드 아키텍트 양성 과정,4회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-02-29,2024-08-01,800,25,11,11,6개월이 안 지났거나 해당 정보 없음,17.0,21,71.4,9,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,하이브리드 및 멀티클라우드 아키텍트 양성 과정,5회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-03-25,2024-08-22,800,25,22,22,6개월이 안 지났거나 해당 정보 없음,17.0,11,56.3,17,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,하이브리드 및 멀티클라우드 아키텍트 양성 과정,6회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-05-07,2024-10-08,800,25,18,18,6개월이 안 지났거나 해당 정보 없음,17.0,22,69.6,8,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,하이브리드 및 멀티클라우드 아키텍트 양성 과정,7회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-08-02,2024-12-30,800,25,15,15,6개월이 안 지났거나 해당 정보 없음,17.0,18,90.1,13,6개월이 안 지났거나 해당 정보 없음
케이지에듀원 아이티뱅크종로학원,(03138) 서울특별시 종로구 돈화문로 26 (묘동 단성사) 4층,하이브리드 및 멀티클라우드 아키텍트 양성 과정,8회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-10-14,2025-03-14,800,25,19,19,6개월이 안 지났거나 해당 정보 없음,17.0,15,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
그린컴퓨터아트학원,"(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원",『기업연계 프로젝트형』 웹디자인(웹퍼블리셔)&프론트엔드 SW개발자 양성,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-08,2024-09-02,960,20,15,15,6개월이 안 지났거나 해당 정보 없음,13.67,11,90.5,12,6개월이 안 지났거나 해당 정보 없음
그린컴퓨터아트학원,"(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원",『기업연계 프로젝트형』 웹디자인(웹퍼블리셔)&프론트엔드 SW개발자 양성,6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-07-04,2025-01-07,960,20,12,12,6개월이 안 지났거나 해당 정보 없음,13.67,15,100,8,6개월이 안 지났거나 해당 정보 없음
그린컴퓨터아트학원,"(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원",『기업연계 프로젝트형』 웹디자인(웹퍼블리셔)&프론트엔드 SW개발자 양성,7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-09-23,2025-04-01,960,20,14,14,6개월이 안 지났거나 해당 정보 없음,13.67,12,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 백엔드 스쿨,7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-11,2024-09-06,920,110,60,60,6개월이 안 지났거나 해당 정보 없음,60.0,53,80.1,53,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층",AWS 프론트엔드 풀스택 웹서비스개발(데이터분석 플랫폼),5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-12,2024-08-21,860,30,20,20,6개월이 안 지났거나 해당 정보 없음,20.0,11,100,20,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,클라우드(AWS) 환경에서 개발하는 풀스택(프론트엔드&백엔드) 자바(JAVA)웹&앱,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-13,2024-10-23,1202,20,17,17,6개월이 안 지났거나 해당 정보 없음,14.0,24,90.9,11,6개월이 안 지났거나 해당 정보 없음
더조은컴퓨터아카데미 종로,(03189) 서울특별시 종로구 우정국로2길 21 (관철동 대왕빌딩) 9층,클라우드(AWS) 환경에서 개발하는 풀스택(프론트엔드&백엔드) 자바(JAVA)웹&앱,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-05-29,2025-01-08,1202,20,11,11,6개월이 안 지났거나 해당 정보 없음,14.0,17,60,10,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)",2회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-18,2024-09-06,940,30,27,27,6개월이 안 지났거나 해당 정보 없음,21.33,17,74.1,21,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)",3회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-17,2024-12-04,940,30,22,22,6개월이 안 지났거나 해당 정보 없음,21.33,27,74.6,18,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","[실무프로젝트]자바 웹개발자(React, Springboot, intelliJ, AWS)",4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-12-09,2025-05-30,940,30,15,15,6개월이 안 지났거나 해당 정보 없음,21.33,22,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 앱/iOS 스쿨,5회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-03-25,2024-09-13,920,100,48,48,6개월이 안 지났거나 해당 정보 없음,40.0,25,72.1,41,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 앱/iOS 스쿨,6회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-06-03,2024-11-26,920,100,27,27,6개월이 안 지났거나 해당 정보 없음,40.0,48,70.8,24,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 앱/iOS 스쿨,7회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-12-18,2025-06-13,920,100,45,45,6개월이 안 지났거나 해당 정보 없음,40.0,27,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",Ansible 자동화로 구현한 아마존 AWS 클라우드 환경 DevOps,19회차,IT시스템관리(20010301),K-디지털 트레이닝,2024-04-16,2024-10-15,960,30,24,23,6개월이 안 지났거나 해당 정보 없음,23.0,21,97.7,19,6개월이 안 지났거나 해당 정보 없음
주식회사멋쟁이사자처럼,"(03155) 서울특별시 종로구 종로3길 17 (청진동 D타워) 16, 17층",멋쟁이사자처럼 블록체인 스쿨,4회차,응용SW엔지니어링(20010202),K-디지털 트레이닝,2024-04-18,2024-08-30,720,80,23,23,6개월이 안 지났거나 해당 정보 없음,17.5,28,95.2,15,6개월이 안 지났거나 해당 정보 없음
