기관명,주소,과정명,회차,직종,훈련유형,개강일,종강일,훈련시간,모집인원,수강신청인원,수강확정인원,평균 인원,전회차 인원,만족도_평균점수,만족도_응답자수,6개월후_취업률_퍼센트,6개월후_취업률_기준인원
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층","(디지털컨버전스)JAVA, Python, AutoML을 응용한 풀 스택 개발자 과정 A",1회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-02-18,2025-07-30,900,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층","(디지털컨버전스)JAVA, Python, AutoML을 응용한 풀 스택 개발자 과정 A",2회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-01-21,2025-07-08,900,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","(디지털컨버전스)자바(JAVA) 백엔드 웹개발자(JPA, Springboot, AWS)B",1회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-01-21,2025-07-07,900,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",(클라우드 운영 관리)클라우드 네트워크 아키텍처 설계 전문가 양성과정 B,1회차,IT시스템관리(20010301),국가기간전략산업직종훈련,2025-02-18,2025-07-31,910,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
(주)솔데스크,"(03190) 서울특별시 종로구 종로12길 15 (관철동 종로코아) 5층, 8층, 9층, 10층",(클라우드 운영 관리)클라우드 네트워크 아키텍처 설계 전문가 양성과정 B,2회차,IT시스템관리(20010301),국가기간전략산업직종훈련,2025-01-21,2025-07-09,910,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층","스마트 웹콘텐츠 UI/UX 디자인 & 프론트엔드(피그마,Figma) B",1회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-02-12,2025-07-16,900,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층","스마트 웹콘텐츠 UI/UX 디자인 & 프론트엔드(피그마,Figma) B",2회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-02-05,2025-07-09,900,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층","스마트 웹콘텐츠 UI/UX 디자인 & 프론트엔드(피그마,Figma) B",3회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-01-22,2025-06-30,900,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층","스마트 웹콘텐츠 UI/UX 디자인 & 프론트엔드(피그마,Figma) B",4회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-01-23,2025-07-01,900,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층","스마트 웹콘텐츠 UI/UX 디자인 & 프론트엔드(피그마,Figma) B",5회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-01-21,2025-06-27,900,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층",UIUX 웹디자인(피그마[Figma]) & 프론트엔드(react.js) B,1회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-03-10,2025-07-09,760,25,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층",UIUX 웹디자인(피그마[Figma]) & 프론트엔드(react.js) B,2회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-02-24,2025-06-26,760,25,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층",UIUX 웹디자인(피그마[Figma]) & 프론트엔드(react.js) B,3회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-02-17,2025-06-19,760,25,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층",UIUX 웹디자인(피그마[Figma]) & 프론트엔드(react.js) B,4회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-02-06,2025-06-10,760,25,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층",UIUX 웹디자인(피그마[Figma]) & 프론트엔드(react.js) B,5회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-01-23,2025-05-30,760,25,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층",UIUX 웹디자인(피그마[Figma]) & 프론트엔드(react.js) B,6회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-01-22,2025-05-29,760,25,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
그린컴퓨터아트학원,"(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원",[디지털디자인] ChatGPT 활용 UI/UX 반응형 웹앱디자인&웹퍼블리셔 개발자 C,1회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-01-23,2025-06-16,760,20,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","(스마트웹&콘텐츠개발)자바(JAVA) 풀스택개발자(React, Springboot, AWS)A",1회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-01-24,2025-07-21,950,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층",UIUX 웹디자인(피그마[Figma]) & 프론트엔드(react.js) C,1회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-02-10,2025-06-12,760,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층",UIUX 웹디자인(피그마[Figma]) & 프론트엔드(react.js) C,2회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-02-03,2025-06-04,760,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층",UIUX 웹디자인(피그마[Figma]) & 프론트엔드(react.js) C,3회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-01-31,2025-06-03,760,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층",UIUX 웹디자인(피그마[Figma]) & 프론트엔드(react.js) C,4회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-01-24,2025-05-30,760,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층","(디지털컨버전스)자바(JAVA) 백엔드 웹개발자(JPA, Springboot, AWS)A",1회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-02-03,2025-07-15,900,30,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
이젠아카데미 DX교육센터,"(03189) 서울특별시 종로구 우정국로2길 37(관철동, 청문학원) 5층,6층","AWS클라우드 기반 자바 백엔드개발자(Java Spring,SQL프로그래밍) A",해당 정보 없음,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,해당 정보 없음,해당 정보 없음,900,해당 정보 없음,해당 정보 없음,해당 정보 없음,해당 정보 없음,해당 정보 없음,해당 정보 없음,해당 정보 없음,해당 정보 없음,해당 정보 없음
그린컴퓨터아트학원,"(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원",[디지털디자인] ChatGPT 활용 UI/UX 반응형 웹앱디자인&웹퍼블리셔 개발자 B,1회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-02-03,2025-06-19,760,20,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층",(스마트웹&콘텐츠개발)피그마활용 웹디자인&웹퍼블리셔A,1회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-02-25,2025-08-14,950,22,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층",(스마트웹&콘텐츠개발)피그마활용 웹디자인&웹퍼블리셔A,2회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-02-04,2025-07-24,950,22,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
하이미디어아카데미인재개발원,"(03163) 서울특별시 종로구 인사동길 12 7층, 15층",(스마트웹&콘텐츠개발)피그마활용 웹디자인&웹퍼블리셔B,1회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-02-04,2025-07-24,950,22,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
그린컴퓨터아트학원,"(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원",[디지털컨버전스] 데이터 융합 자바(JAVA)&스프링(Spring) 백엔드 SW개발자 A,1회차,응용SW엔지니어링(20010202),국가기간전략산업직종훈련,2025-02-20,2025-08-01,900,20,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
그린컴퓨터아트학원,"(03192) 서울특별시 종로구 수표로 96 (관수동 국일관드림펠리스) 2층, 5층 일부 그린컴퓨터아트학원",[디지털디자인] ChatGPT 활용 UI/UX 반응형 웹앱디자인&웹퍼블리셔 개발자 A,1회차,UI/UX엔지니어링(20010207),국가기간전략산업직종훈련,2025-02-20,2025-07-08,760,20,0,0,0.0,해당 정보 없음,해당 정보 없음,해당 정보 없음,6개월이 안 지났거나 해당 정보 없음,6개월이 안 지났거나 해당 정보 없음
